iter 00112 | success 0.537 | cost 79.3 | policy_loss -0.00013 | value_loss 2721.48828 | Vmean -168.573 | Rmean -164.615 | Vrmse 73.046 | VexpVar 0.834 | adv_std 72.938 | elapsed 50.64s
iter 00113 | success 0.543 | cost 79.0 | policy_loss -0.00006 | value_loss 2730.85947 | Vmean -166.519 | Rmean -165.906 | Vrmse 73.301 | VexpVar 0.832 | adv_std 73.298 | elapsed 49.22s
iter 00114 | success 0.532 | cost 79.2 | policy_loss -0.00005 | value_loss 2681.12306 | Vmean -162.114 | Rmean -162.625 | Vrmse 72.746 | VexpVar 0.836 | adv_std 72.744 | elapsed 48.40s
iter 00115 | success 0.526 | cost 80.4 | policy_loss -0.00005 | value_loss 2792.91017 | Vmean -164.445 | Rmean -165.500 | Vrmse 73.519 | VexpVar 0.832 | adv_std 73.511 | elapsed 49.77s
iter 00116 | success 0.538 | cost 79.7 | policy_loss -0.00002 | value_loss 2738.91165 | Vmean -160.021 | Rmean -162.342 | Vrmse 73.223 | VexpVar 0.835 | adv_std 73.187 | elapsed 49.25s
iter 00117 | success 0.530 | cost 78.5 | policy_loss -0.00006 | value_loss 2609.37825 | Vmean -152.331 | Rmean -160.334 | Vrmse 71.863 | VexpVar 0.844 | adv_std 71.416 | elapsed 49.65s
iter 00118 | success 0.530 | cost 78.9 | policy_loss -0.00002 | value_loss 2662.53459 | Vmean -156.426 | Rmean -162.080 | Vrmse 71.707 | VexpVar 0.843 | adv_std 71.484 | elapsed 49.93s
iter 00119 | success 0.521 | cost 79.0 | policy_loss -0.00007 | value_loss 2757.12637 | Vmean -158.649 | Rmean -161.480 | Vrmse 73.056 | VexpVar 0.838 | adv_std 73.001 | elapsed 50.42s
iter 00120 | success 0.543 | cost 78.3 | policy_loss -0.00003 | value_loss 2702.98108 | Vmean -163.338 | Rmean -165.490 | Vrmse 72.048 | VexpVar 0.838 | adv_std 72.016 | elapsed 49.53s
iter 00121 | success 0.546 | cost 77.0 | policy_loss -0.00005 | value_loss 2755.80122 | Vmean -168.098 | Rmean -167.719 | Vrmse 72.543 | VexpVar 0.836 | adv_std 72.542 | elapsed 49.00s
iter 00122 | success 0.546 | cost 79.3 | policy_loss -0.00008 | value_loss 2746.99873 | Vmean -169.369 | Rmean -165.535 | Vrmse 73.171 | VexpVar 0.833 | adv_std 73.070 | elapsed 49.58s
iter 00123 | success 0.550 | cost 79.4 | policy_loss -0.00007 | value_loss 2707.22847 | Vmean -171.694 | Rmean -169.320 | Vrmse 72.324 | VexpVar 0.834 | adv_std 72.285 | elapsed 49.43s
iter 00124 | success 0.537 | cost 80.1 | policy_loss -0.00004 | value_loss 2716.65480 | Vmean -163.203 | Rmean -164.238 | Vrmse 72.141 | VexpVar 0.838 | adv_std 72.133 | elapsed 49.64s
iter 00125 | success 0.542 | cost 79.9 | policy_loss -0.00001 | value_loss 2677.00618 | Vmean -161.974 | Rmean -164.524 | Vrmse 71.673 | VexpVar 0.840 | adv_std 71.628 | elapsed 49.49s
iter 00126 | success 0.540 | cost 79.5 | policy_loss -0.00002 | value_loss 2644.19798 | Vmean -161.168 | Rmean -166.453 | Vrmse 71.255 | VexpVar 0.841 | adv_std 71.059 | elapsed 49.76s
iter 00127 | success 0.534 | cost 78.8 | policy_loss -0.00006 | value_loss 2642.08119 | Vmean -160.437 | Rmean -166.264 | Vrmse 71.226 | VexpVar 0.842 | adv_std 70.988 | elapsed 49.87s
iter 00128 | success 0.550 | cost 79.5 | policy_loss -0.00004 | value_loss 2601.80353 | Vmean -160.357 | Rmean -168.242 | Vrmse 70.684 | VexpVar 0.842 | adv_std 70.243 | elapsed 49.52s
iter 00129 | success 0.558 | cost 77.5 | policy_loss -0.00003 | value_loss 2576.18127 | Vmean -161.110 | Rmean -168.867 | Vrmse 70.342 | VexpVar 0.844 | adv_std 69.913 | elapsed 49.82s
